title,category,country,price
Аммоний вольфрамовокислый чда,,порошок,2 300 
Фенолфталеин,селективные реактивы,,3 500 
Железо (II) сернокислое 9-водное ч,селективные реактивы,,290 
Кислота борная  хч,,инсектицид,160 
Формалин тех. в/с,селективные реактивы,,160 
Сера элементарная осч 15-3,селективные реактивы,,280 
"Кислота сорбиновая, пищевая добавка Е 200",,,850 
Алюминий азотнокислый 9-вод. ч,селективные реактивы,,350 
"Калий сернистокислый пиро ""ч""",,,630 
Бензидин чда,селективные реактивы,,85 000 
Н-гексан осч,селективные реактивы,,950 
Кислота яблочная,,,580 
Калий надсернокислый хч (Калий персульфат),,,550 
"Кальций карбид, бочка 125кг",,,450 
Бентонит ППБ,селективные реактивы,,25 
Кобальт (II) сернокислый 7-вод. Ч,селективные реактивы,,2 500 
Олово (II) хлористое 2 -водное,селективные реактивы,,2 000 
Алюминий гидроксихлорид м. А,селективные реактивы,,65 
Эпихлоргидрин  99%,селективные реактивы,,3 500 
Углерод 4-хлористый осч 18-4,селективные реактивы,,1 200 
Кислота тиобарбитуровая 99%,,,21 500 
Цинк уксуснокислый ч (Цинк ацетат),, ,450 
Аммоний азотнокислый ч,селективные реактивы,,370 
Аммоний хлористый хч,,,95 
Диметилэтаноламин хч,селективные реактивы,,850 
Кальций хлористый тех,,,160 
Натрий гидроокись хч,селективные реактивы,,220 
Нафтоловый зеленый Б,селективные реактивы,,15 000 
Калий титан (IV) фтористый,,,1 100 
Бензоин,селективные реактивы,,4 500 
"Соль Мора хч, Аммоний железо сернокислый",,,800 
Индий азотнокислый хч,селективные реактивы,,38 000 
Тиомочевина,селективные реактивы,,450 
Аммоний молибденовокислый чда,,белый кристаллический порошок,3 000 
Толуол чда,селективные реактивы,,280 
Натрий сернокислый 10 - водный хч,селективные реактивы,,150 
Ртуть (II) окись красная,селективные реактивы,,16 000 
Оксиэтилидендифосфоновая кислота  98%(ОЭДФ),,,400 
Антрон,селективные реактивы,,10 000 
Хромотроп 2Б (2В),селективные реактивы,,5 400 
Калий марганцевокислый чда,,порошок,1 000 
Трихлорэтилен тех,селективные реактивы,,450 
Аммоний роданистый ч,селективные реактивы,,450 
Алюминий  сульфат очищенный,селективные реактивы,,120 
В-нафтол чда индикатор,селективные реактивы,,4 700 
Селен аморфный,селективные реактивы,,25 000 
Аммоний надсернокислый ч,селективные реактивы,,350 
Натрий хлорнокислый безводный ч (натрий перхлорат),,Россия,9 800 
Электролит калиево-литиевый щелочной Р 1.27,селективные реактивы,,95 
Додецилсульфат натрия,селективные реактивы,,900 
"Калий бромноватокислый ч, калий бромат, пищевая добавка Е 924",,порошок,6 000 
Индий оксид хч,селективные реактивы,,35 000 
Бензиловый спирт чда,,,380 
Диоксан солянокислый,селективные реактивы,,11 000 
Магний хлорнокислый 6 - вод. Ч,селективные реактивы,,3 000 
Дифенилгуанидин (Гуанид Ф),селективные реактивы,,2 500 
Аммоний щавелевокислый 1-вод. хч,,,320 
Смола ионообменная АВ -17-8,,,260 
Нефрас 80/120,селективные реактивы,,120 
"Фталевая кислота ч, ортофталевая кислота",,,2 000 
Медь лимоннокислая (медь II  цитрат),,,1 200 
Бумага индикаторная РИФАН,селективные реактивы,,180 
Коллодий,селективные реактивы,,4 500 
"Пирокатехин, имп.",селективные реактивы,,1 000 
Метилизобутилкетон хч,селективные реактивы,,560 
Марганца (II) хлорид ч,селективные реактивы,,250 
"Стронций азотнокислый ч, стронций нитрат",селективные реактивы,,450 
Кислота линоленовая,селективные реактивы,,25 000 
Хлорамин Б,селективные реактивы,,450 
Цинк щавелевокислый 2-вод. чда,,,380 
