title,category,country,price
Триэтиленгликоль м. А,селективные реактивы,,450 ₽
Хлороформ хч,селективные реактивы,Россия,450 ₽
Аммоний фосфорнокислый 2-зам. Ч,селективные реактивы,,400 ₽
Азур-эозин по Романовскому сухой,селективные реактивы,,20 000 ₽
"Натрий углекислый кислый, натрий двууглекислый, сода пищевая",селективные реактивы,Россия,120 ₽
Алюминий хлористый 6-водный (алюминий хлорид),селективные реактивы,Россия,1 400 ₽
Кальций карбид марка А 25/80,селективные реактивы,,450 ₽
Толуол осч 22-5,селективные реактивы,,400 ₽
"Стронций азотнокислый ч, стронций нитрат",селективные реактивы,,450 ₽
Натрий фосфорнокислый пиро ч,селективные реактивы,,500 ₽
"Натрий двухромовокислый чда, натрий бихромат, дихромат натрия",селективные реактивы,,500 ₽
Литий хлористый  безводный импорт,селективные реактивы,,5 000 ₽
Диметиланилин,селективные реактивы,Россия,2 000 ₽
"Натрий йодистый 2-водный чда, натрий йодид",селективные реактивы,,4 800 ₽
Аммоний йодистый ч,селективные реактивы,,3 600 ₽
Хрома окись тех. пигмент. сорт ОХП-1,зеленый,пигмент,1 000 ₽
Сульфоуголь СК по ГОСТ,селективные реактивы,,68 ₽
Хлорамин Б,селективные реактивы,,450 ₽
Фуксин основной  для МБЦ,селективные реактивы,,8 000 ₽
Анилин гидрохлорид чда,селективные реактивы,,1 800 ₽
Магний окись б/серы ч,селективные реактивы,,550 ₽
Хромаген черный (Эриохром черный Т),селективные реактивы,,16 000 ₽
Бора нитрид гексагональный,селективные реактивы,,6 500 ₽
Алюминий гранулированный ч,селективные реактивы,,720 ₽
"Натрий сернокислый безводный, натрий сульфат",селективные реактивы,,120 ₽
"N, N-Диметил-п-фенилендиамин чда",селективные реактивы,Россия,27 750 ₽
"Натрий лимоннокислый 3-зам 5,5-водный чда, цитрат натрия, пищевая добавка Е331",селективные реактивы,,900 ₽
Магний хлористый 6 - водный чда,селективные реактивы,,450 ₽
"1,2,3-Бензотриазол ч",необратимый,Россия,1 240 ₽
Йод кристаллический ч,селективные реактивы,,6 000 ₽
"Фенилгидразин солянокислый чда, фенилгидразин гидрохлорид",селективные реактивы,,35 000 ₽
Вазелин мед.,селективные реактивы,,400 ₽
Натр едкий м. ТР,селективные реактивы,,220 ₽
Железо (III) хлорид 6-водный хч,селективные реактивы,,109 ₽
Аква-аурат-30,селективные реактивы,,75 ₽
Алюминий хлористый безводный 99%(Алюминий хлорид),селективные реактивы,,2 200 ₽
Кальций углекислый (кальций карбонат),селективные реактивы,,300 ₽
Карбамид марка А ГОСТ 2081-20,селективные реактивы,,120 ₽
"2,4-динитрофенилгидразин",селективные реактивы,,6 500 ₽
Формалин тех. в/с,селективные реактивы,,160 ₽
Фенол,селективные реактивы,Россия,800 ₽
"Кобальт азотнокислый  6-водный ч, кобальт нитрат",селективные реактивы,,2 500 ₽
Фенантролин основание чда,селективные реактивы,,34 800 ₽
Лаурет сульфат натрия,селективные реактивы,,980 ₽
Олово (II) сульфат импорт (олово сернокислое),селективные реактивы,Россия,4 500 ₽
Бриллиантовый синий Р,селективные реактивы,,35 000 ₽
"Селен элементарный, осч 22-4",селективные реактивы,,30 000 ₽
Натрий кремнефтористый тех,селективные реактивы,,250 ₽
