category,name,price
Флокулянты,Флокулянт Praestol 2530,350
Флокулянты,Флокулянт Superfloc A120PWG,350
Флокулянты,Флокулянт Superfloc A120HMW,350
Флокулянты,Флокулянт Superfloc A120,350
Флокулянты,Флокулянт Superfloc A110PWG,350
Флокулянты,Флокулянт Praestol 2620,350
Флокулянты,Флокулянт Praestol 2540 TR,350
Флокулянты,Флокулянт Superfloc C493P,310
Техническая химия,"Натр Едкий  Очищенный 46% (Сода каустическая, щелочь)",150
Активированные угли,Активированный уголь БАУ-ЛВП ТУ 20.14.72-023-72651045-2017 (для ликероводки,250
Ионообменные смолы,Смола Lewatit (Леватит) CNP LF,245
Ингибиторы коррозии и солеотложения,Оксиэтилидендифосфоновая кислота 98% (ОЭДФ кислота) (25 пакетов по 1 кг),490
Силикагели,Силикагель фасованный КСКГ (порционный) по 100 г,50
Цеолиты,Цеолит природный (фр. 0-1 мм),20
Коагулянты,Полиоксихлорид алюминия Аква-РАС 30 (полный аналог Аква-Аурат-30) (25 пакет,160
Кварцевый песок,"Песок кварцевый (фракция 0,1-0,6 мм)",15
Кварцевый песок,"Песок кварцевый фракция 0,8-2,0 мм",15
Кварцевый песок,"Песок кварцевый фракция 2,0-5,0 мм",15
Кварцевый песок,"Песок кварцевый фракция 0,3-0,6 мм",15
Кварцевый песок,"Песок кварцевый фракция 3,0-6,0 мм",15
Кварцевый песок,"Песок кварцевый фракция 0,8-1,2 мм",15
Кварцевый песок,"Песок кварцевый фракция 0,5-1,6 мм",15
Кварцевый песок,"Песок кварцевый фракция 0,4-0,8 мм",15
Кварцевый песок,"Песок кварцевый (фракция 1,0-3,0 мм)",310
Кварцевый песок,"Цветной кварцевый песок (фракция 2,0-5,0 мм)",15
Кварцевый песок,"Цветной кварцевый песок (фракция 0,8-2,0 мм)",15
Кварцевый песок,"Цветной кварцевый песок (фракция 0,4-0,8 мм)",15
Кварцевый песок,"Песок кварцевый (фракция 0,6-1,2 мм)",15
Кварцевый песок,"Песок кварцевый (фракция 0,5-1,0 мм)",15
Кварцевый песок,"Песок кварцевый (фракция 0,5-0,8 мм)",15
Кварцевый песок,"Песок кварцевый (фракция 0,1-0,5 мм)",15
Кварцевый песок,"Песок кварцевый (фракция 0,1-0,2 мм)",15
