name,CAS
БЕТАПАВ А1214.30,CAS № 66455-29-6
АЛКАПАВ АПОС, 
СЕПТАПАВ,CAS № 7173-51-5
КАТАПАВ 1618,КАТАПАВ 1816С.50
АЛКАПАВ 16,CAS № 112-02-7
АЛКАПАВ 1618,АЛКАПАВ 1816С.50
КАТАПАВ 1214,CAS № 85409-22-9
КАТАПАВ ,CAS № 85409-22-9
АЛКАПАВ 1214,АЛКАПАВ 1214С.50
ОКСИПАВ АП,30
КОЛАМИД К*,CAS № 68140-00-1
ДИЛАМИКС,CAS № 68155-07-7
ДИЛАМИД ПС,CAS № 97766-03-5
ДИЛАМИД К,CAS № 68603-42-9
ДИЛАМИД К Экстра,CAS № 68603-42-9
ДИЛАМИД ПЯ,CAS № 68603-42-9
ТАНАИС,Средство для мойки шерсти
САРМАТ У,Концентрат ПАВ для уборки помещений
САРМАТ УД,Концентрат ПАВ для уборки помещений с дезинфицирующим эффектом
КАТАДОР-Э,Эмульгатор битумных эмульсий
НИКОЛЬ,"Концентрат ПАВ для шампуней, гелей для душа, жидкого мыла"
САРМАТ М,Концентрат ПАВ для мытья посуды
САРМАТ П,Концентрат ПАВ для мытья пищевого оборудования
ДОН-М,Ингибитор коррозии 
ДОН-Л 1704,Эмульгатор обратных эмульсий 
ДОН-Д 0740,Пенообразователь для удаления газоконденсатной жидкости
ДОН-А 0934,Гидрофобизатор
ДОН-К,Эмульгаторы обратных эмульсий 
ДОН-Б,Ингибитор коррозии
КАРБОКСИПАВ, 
ДОН–Б 0110/37,Модификатор лакокрасочных покрытий
ДОН–А 0837/50,Гидрофобизатор лакокрасочных покрытий
Олеиламидопропилдиметиламин,CAS № 109-28-4
ИМИДАПАВ, 
ТАБАХ, 
АЦЕТАМ ,АЦЕТАМ С.70
ОКСИПАВ А14.25,CAS № 3332-27-2
ТЕКСТАПАВ ,1816СВ.75
ОКСИПАВ А1214С.50,CAS № 308062-28-4
ОКСИПАВ А1218.30,CAS № 68955-55-5
ОКСИПАВ А1214.30,CAS № 308062-28-4
БЕТАПАВ АПО.30,CAS № 25054-76-6
БЕТАПАВ АП18.30,CAS № 25054-76-6
БЕТАПАВ АП.45 Экстра,CAS № 61789-40-0
БЕТАПАВ АП.30,CAS № 61789-40-0
