link
"Link(url='https://niipav.ru', text='ООО НПО ""НИИПАВ""', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/', text='\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d1%8f-%d1%81%d0%b5%d0%b3%d0%be%d0%b4%d0%bd%d1%8f/', text='Компания сегодня', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/production/', text='Продукция', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/certificates/', text='Сертификаты', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/vakansii/', text='Вакансии', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/postavschikam/', text='Поставщикам', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/%d0%ba%d0%be%d0%bd%d1%82%d0%b0%d0%ba%d1%82%d1%8b/', text='Контакты', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/betapav-a1214-30/', text='БЕТАПАВ А1214.30', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/betapav-ap-30-extra/', text='БЕТАПАВ АП.30 Экстра', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/betapav-ap-30/', text='БЕТАПАВ АП.30', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/betapav-ap-45-extra/', text='БЕТАПАВ АП.45 Экстра', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/betapav-ap-45/', text='БЕТАПАВ АП.45', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/betapav-ap12-30/', text='БЕТАПАВ АП12.30', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/betapav-ap18-30/', text='БЕТАПАВ АП18.30', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/betapav-apo-30/', text='БЕТАПАВ АПО.30', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/oxipav-a1214-30/', text='ОКСИПАВ А1214.30', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/oxipav-a1216-30/', text='ОКСИПАВ А1216.30', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/oxipav-a1218-30/', text='ОКСИПАВ А1218.30', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/oxipav-a14-25/', text='ОКСИПАВ А14.25', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/oxipav-a1214s-50/', text='ОКСИПАВ А1214С.50', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/oxipav-ap12-30/', text='ОКСИПАВ АП', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/dilamid-k-extra/', text='ДИЛАМИД К ЭКСТРА', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/dilamid-k/', text='ДИЛАМИД К', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/dilamid-py/', text='ДИЛАМИД ПЯ', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/dilamix/', text='ДИЛАМИКС', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/dilamid-ps/', text='ДИЛАМИД ПС', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/kolamid-k/', text='КОЛАМИД К*', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/alkapav-1214-35/', text='АЛКАПАВ 1214', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/alkapav-16-30/', text='АЛКАПАВ 16', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/alkapav-1618s-50/', text='АЛКАПАВ 1618', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/alkapav-apos-50/', text='АЛКАПАВ АПОС', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/katapav/', text='КАТАПАВ', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/katapav-1214s-50/', text='КАТАПАВ 1214', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/katapav-1816s-50/', text='КАТАПАВ 1618', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/septapav-hsv-50/', text='СЕПТАПАВ', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/textapav-1816s-75/', text='ТЕКСТАПАВ', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/tabah/', text='ТАБАХ', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/acetam-s-50/', text='АЦЕТАМ ', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/imidapav/', text='ИМИДАПАВ', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/oleilamidopropildimetilamin/', text='ОЛЕИЛАМИДОПРОПИЛДИМЕТИЛАМИН', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/kokamidopropildimetilamin/', text='КОКАМИДОПРОПИЛДИМЕТИЛАМИН', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/karboxipav-af6-35/', text='КАРБОКСИПАВ', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/don-b-0110-37/', text='ДОН-Б 0110/37', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/don-a-0837-50/', text='ДОН-А 0837/50', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/don-a-0834/', text='ДОН-А\xa00834', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/don-a-0934/', text='ДОН-А 0934', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/don-b/', text='ДОН-Б', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/don-d-0740/', text='ДОН-Д 0740', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/don-k/', text='ДОН-К', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/don-l-1704/', text='ДОН-Л 1704', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/don-m/', text='ДОН-М', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/nikol/', text='НИКОЛЬ', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/sarmat-m/', text='САРМАТ М', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/sarmat-u/', text='САРМАТ У', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/sarmat-ud/', text='САРМАТ УД', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/sarmat-p/', text='САРМАТ П', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/tanais/', text='ТАНАИС', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/skat-tn/', text='СКАТ ТН', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/skat-us/', text='СКАТ УС', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/skat-us-40/', text='СКАТ УС 40', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/skat-us-60/', text='СКАТ УС 60', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/strada-special/', text='STRADA special', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/strada-universal/', text='STRADA universal', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/katador-a/', text='КАТАДОР-А', fragment='', nofollow=False)"
"Link(url='http://niipav.ru/katador-e', text='КАТАДОР-Э', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/%d0%bf%d0%be%d0%bb%d0%b8%d1%82%d0%b8%d0%ba%d0%b0-%d0%ba%d0%be%d0%bd%d1%84%d0%b8%d0%b4%d0%b5%d0%bd%d1%86%d0%b8%d0%b0%d0%bb%d1%8c%d0%bd%d0%be%d1%81%d1%82%d0%b8/', text='Политика конфиденциальности', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/zayavlenie-ob-otvetstvennosti/', text='Заявление об ответственности', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/pologenie-o-personalnich-dannich/', text='Положение о персональных данных', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/ob-ispolzovanii-materialov-saita/', text='Об использовании материалов сайта', fragment='', nofollow=False)"
"Link(url='https://niipav.ru/?page_id=69', text='Кодекс деловой этики', fragment='', nofollow=False)"
