name,CAS
Акриламид,Внешний вид:
Борная кислота,EINECS:
Бутилцеллозольв,111-76-2
Бензойная кислота,EINECS:
Бензоат натрия,EINECS:
Бензиловый спирт,100-51-6
Белила цинковые,Категория:
Арзамит-5,
Аммоний хлористый,гранулы или порошок белого цвета
Адипиновая кислота,124-04-9
Этилцеллозольв,3 (умеренно-опасное)
Этилсиликат-40,Класс опасности:
Этилендиамин,Класс опасности:
Этиленгликоль,107-21-1
Этилацетат,141-78-6
Эпоксидированное соевое масло,
Эпихлоргидрин,EINECS:
Церезин 75,
Хромовый ангидрид,1 (чрезвычайно опасные вещества)
Хлорпарафин ХП-470А,"4 (пожаро-, взрывобезопасен, нелетуч)"
Фталевый ангидрид,85-44-9
Триэтилфосфат,78-40-0
Триэтиленгликоль,112-27-6
Триэтиламин,Соответствует:
Триэтаноламин,102-71-6
Трихлорэтилфосфат,CAS:
Трихлорэтилен,EINECS:
Трихлорпропилфосфат,CAS:
Тофу гигиенический,
POLYOL IXOL,
Толуилендиизоцианат,CAS:
Тетрагидрофуран,EINECS:
Сульфонол порошок,Категория:
Стекло жидкое натриевое,Соответствует:
Сорбитол,50-70-4
Сорбат калия,24634-61-5
"Смола эпоксидная ЭД-16, ЭД-20",Категория:
Смола эпоксидная сухая,
Смола эпоксидная РЭД,Категория:
Смола эпоксидная ИМПОРТ,
Смола эпоксидная в растворе,Категория:
Смола ПВХ эмульсионный,Цена:
Смола ПВХ суспензионный,Цена:
"Смачиватель ОП-7, ОП-10",Россия
Смазка силиконовая,
Силикагель гигиенический,Категория:
Силикагель,Цена:
Ровинг,
Разбавитель AGE,68609-97-2
Пропионовая кислота,EINECS:
Пропиленгликоль,EINECS:
Препарат ОС-20,Категория:
Полиэтиленполиамин,Категория:
Бура техническая,B
Полиакриламид - гель,Цена:
Пирогенный диоксид кремния (аэросил),
Пирогенный диоксид алюминия,Цена:
Тиогликолиевая кислота,По запросу
Перманганат калия,По запросу
Перхлорэтилен,EINECS:
Отвердитель MOCA,Категория:
Ортофосфорная кислота,Класс опасности:
Олеиновая кислота,EINECS:
Окись хрома ОХП-1,Соответствует:
Нитрит натрия,Соответствует:
Неонол,Класс опасности:
Натр едкий,Соответствует:
Н-Пропанол,EINECS:
Муравьиная кислота,Цена:
Моноэтаноламин,EINECS:
Метилпирролидон,Внешний вид:
Метилидигликоль,CAS:
Метилен хлористый,EINECS:
Метил тетрагидрофталевый ангидрид,11070-44-3
Медный купорос,ГОСТ 19347-99
Малеиновый ангидрид,108-31-6
Лимонная кислота,ГОСТ 908-2004
"1,4 бутандиол",Внешний вид:
Карбюризатор,Категория:
Карбид кальция Словакия,в чистом виде белое кристаллическое вещество
Калия гидроокись,Внешний вид:
Изопропиловый спирт,EINECS:
Диэтиленгликоль,прозрачная белая вязкая жидкость
Диэтаноламин,111-42-2
Дифенилолпропан,CAS 80-05-7
Диоктилфталат,COO(CH
Диоктиладипинат,103-23-1
Диметиламинопропиламин,109-55-7
Диизононилфталат,68515-48-0
Дибутилфталат,6
Двуокись титана,236-675-5
Гуанидин гидрохлорид,Внешний вид:
Глицерин сырой натуральный,Категория:
Глицерин пищевой,56-81-5
Гидроокись кальция,215-137-3
Гексаметилендиамин,124-09-04
Аллил хлористый,EINECS:
Аминный отвердитель эпоксидных смол,
Алкофен,90-72-2
Solkane 365 mfc,пенообразующее вещество
Клей 88 СА,
Парафин,
Бутилгликоль,111-76-2
Полиэтиленгликоль,Соответствует:
