product,category,price,trademark,country,description,CAS,INCI,manufacturer,packing
Изопропиловый спирт (Пропанол-2),Реактивы и хим. сырье,4260,,,,,,,упаков
Натрий метасиликат,Реактивы и хим. сырье,,,,,,,,
Калий фосфорнокислый 2-замещенный 3 водн,Реактивы и хим. сырье,,,,,,,,
Натрий салициловокислый,Реактивы и хим. сырье,,,,,,,,
Крахмал текстильный Aprin,Реактивы и хим. сырье,110,,,,,,,упаков
Крахмал водорастворимый,Реактивы и хим. сырье,798,,,,,,,упаков
Бумага упаковочная с рисунком,Реактивы и хим. сырье,,,,,,,,
Метиламин раствор 38 %,Реактивы и хим. сырье,,,,,,,,
Аммоний азотнокислый,Реактивы и хим. сырье,,,,,,,,
Глиоксиловая кислота,Реактивы и хим. сырье,,,,,,,,
Диметиламинобензальдегид-пара ч,Реактивы и хим. сырье,,,,,,,,
Изопропиловый спирт (Пропанол-2),Реактивы и хим. сырье,,,,,,,,
Алюминий порошок ПА-3 (гранулки различимы - прим. 0,Реактивы и хим. сырье,,,,,,,,
Магний оксид,Реактивы и хим. сырье,,,,,,,,
Висмут металлический в гранулах ви-1,Реактивы и хим. сырье,,,,,,,,
Диметилформамид,Реактивы и хим. сырье,475,,,,,,,упаков
Аммоний фтористый,Реактивы и хим. сырье,,,,,,,,
Салициловая кислота,Реактивы и хим. сырье,,,,,,,,
Алюминий окись,Реактивы и хим. сырье,,,,,,,,
Цинк азотнокислый 6-водный,Реактивы и хим. сырье,,,,,,,,
Эриохром черный Т,Реактивы и хим. сырье,295,,,,,,,упаков
Литий углекислый,Реактивы и хим. сырье,2561,,,,,,,упаков
Шеллак натуральный Lemon One Mashine Made,Реактивы и хим. сырье,,,,,,,,
Винная кислота - D(-),Реактивы и хим. сырье,850,,,,,,,упаков
Ацетон,Реактивы и хим. сырье,,,,,,,,
Свинец азотнокислый,Реактивы и хим. сырье,,,,,,,,
Бутиламин-1,Реактивы и хим. сырье,2420,,,,,,,упаков
Молочная кислота,Реактивы и хим. сырье,,,,,,,,
Вазелин 1,Реактивы и хим. сырье,,,,,,,,
Натрий гидроксид,Реактивы и хим. сырье,,,,,,,,
Формалин,Реактивы и хим. сырье,,,,,,,,
Лимонная кислота пищ 1-водная,Реактивы и хим. сырье,,,,,,,,
Кальций молочнокислый (лактат),Реактивы и хим. сырье,,,,,,,,
Натрий сернистый,Реактивы и хим. сырье,,,,,,,,
Литий хлористый,Реактивы и хим. сырье,2381,,,,,,,упаков
Калий азотнокислый,Реактивы и хим. сырье,,,,,,,,
Гидрохинон,Реактивы и хим. сырье,,,,,,,,
Сульфаминовая кислота,Реактивы и хим. сырье,,,,,,,,
Натрий фтористый,Реактивы и хим. сырье,,,,,,,,
Метиламин раствор 38 %,Реактивы и хим. сырье,,,,,,,,
Фосфор красный,Реактивы и хим. сырье,2450,,,,,,,упаков
Шеллак натуральный Lemon One Mashine Made,Реактивы и хим. сырье,,,,,,,,
Глюкоза кристаллическая имп. цена за 1 кг,Реактивы и хим. сырье,,,,,,,,
Олово двухлористое 2-в.,Реактивы и хим. сырье,728,,,,,,,упаков
Триэтаноламин ч ТОЛЬКО РФ (фас 1 и 10 кг - 575 р/кг),Реактивы и хим. сырье,,,,,,,,
Натрий муравьинокислый (формиат),Реактивы и хим. сырье,,,,,,,,
Барий гидроокись 8-водн,Реактивы и хим. сырье,,,,,,,,
Фталевый ангидрид,Реактивы и хим. сырье,,,,,,,,
Калий железистосинеродистый,Реактивы и хим. сырье,,,,,,,,
Уротропин техн марка С,Реактивы и хим. сырье,,,,,,,,
Цинк хлористый,Реактивы и хим. сырье,,,,,,,,
Изопропиловый спирт (Пропанол-2),Реактивы и хим. сырье,,,,,,,,
Этиленгликоль,Реактивы и хим. сырье,,,,,,,,
